Monat;VPI;CC13-01;CC13-021;CC13-1111;CC13-0411;CC13-0452;CC13-0453;CC13-0451;CC13-072;CC13-0711;CC13-073;Freizeit;CC13-096;CC13-03;CC13-083;Elektro;CC13-121;CC13-06;CC13-022;REST
1;98,5;99,4;99,8;98,6;99,5;100,3;101,2;100,5;96,7;99,3;99,1;99,1;76,9;96;100,5;101,2;99,1;99,5;97,9;99,4
2;99,2;100,2;99,9;99;99,6;100,4;107,8;100,4;98,4;99,4;99,6;99,3;87,3;96,5;100,5;100,3;99,7;99,7;97,9;99,5
3;99,7;100,2;100,1;99,3;99,7;100,5;108;100,2;100,7;99,8;99,9;99,7;88,1;101,9;100,4;99,8;100,1;99,8;98,2;99,7
4;100,2;100,9;100,1;99,7;99,8;100,3;106,7;100;101,8;99,9;100,1;99,5;96,1;102,4;100,3;100;100,3;99,9;98,8;99,8
5;100,4;100,8;100;99,9;99,9;100,2;108,2;100;103;100;100,1;99,7;102,3;100,6;100,2;99,9;100,6;100;99;100
6;100,4;100,2;100,3;100,1;100;100,1;105,6;100;102,8;100;100;99,9;106,3;99,2;100,1;99,9;100,5;100,1;99,6;100
7;100,6;99,5;100;100,1;100,1;99,9;101,5;99,9;103,1;100,1;100,9;100,2;121,7;95,4;100;100;100,1;100,1;100,7;100
8;100,6;99,2;100,1;100,3;100,2;99,8;96,7;99,9;101,1;100,2;100,4;100,4;123,2;97,8;99,8;99,7;100,1;100,2;101,1;100
9;100,4;99,7;99,8;100,4;100,2;99,6;95,3;99,9;99,1;100,2;100,2;100,6;110,9;103,2;99,7;99,4;99,9;100,2;101,5;100,2
10;100,4;100;99,9;100,7;100,3;99,6;93,3;99,8;98,2;100,3;100,1;100,6;106,9;103,7;99,6;100,3;100;100,2;101,7;100,4
11;99,7;100,1;100;100,9;100,3;99,7;92,5;99,7;98,7;100,4;99,4;100,5;83;103;99,5;99,8;99,8;100,2;101,7;100,5
12;99,7;99,8;99,8;101,1;100,4;99,6;83,2;99,7;96,5;100,6;100,3;100,4;97,4;100,3;99,4;99,6;99,8;100,2;101,8;100,5
